駅名,緯度,経度
さいたま新都心駅東口,35.8941,139.6371
新都心バスターミナル前,35.8935,139.6378
三菱マテリアル前,35.8922,139.6411
大宮警察南,35.8912,139.6425
上木崎,35.8894,139.6447
上木崎公民館,35.8873,139.6457
中木崎,35.8860,139.6496
西高前,35.8828,139.6557
木崎,35.8837,139.6580
木崎三丁目,35.8840,139.6603
東下木崎,35.8831,139.6627
山崎,35.8898,139.6646
山中橋,35.8950,139.6670
富士見ヶ丘,35.8993,139.6700
団地入口,35.9021,139.6717
東新井団地,35.9038,139.6735
